Time,Channel A,Channel B
(ms),(mV),(V)

-10.00253577,-22.24799000,-0.98556480
-9.99997577,-13.33659000,0.39472640
-9.99741577,35.64562000,0.96835230
-9.99485577,75.73167000,0.98629720
-9.99229577,111.36200000,1.00424200
-9.98973577,111.36200000,1.00424200
-9.98717577,120.27340000,1.00424200
-9.98461577,151.46330000,1.00424200
-9.98205577,187.09370000,1.00424200
-9.97949577,209.35700000,1.00424200
-9.97693577,209.35700000,1.00424200
-9.97437577,204.90130000,1.00424200
-9.97181577,222.72410000,1.00424200
-9.96925577,253.89870000,1.00424200
-9.96669577,267.26580000,1.00424200
-9.96413577,262.81010000,0.98629720
-9.96157577,249.44300000,1.00424200
-9.95901577,267.26580000,1.00424200
-9.95645577,289.54430000,1.00424200
-9.95389577,302.89620000,1.00424200
-9.95133577,289.54430000,1.00424200
-9.94877577,276.17720000,1.00424200
-9.94621577,298.44050000,1.00424200
-9.94365577,316.26330000,1.00424200
-9.94109577,320.71900000,1.00424200
-9.93853577,289.54430000,1.00424200
-9.93597577,294.00000000,1.00424200
-9.93341577,311.80760000,1.00424200
-9.93085577,334.08610000,1.00424200
-9.92829577,325.17470000,1.00424200
-9.92573577,294.00000000,1.00424200
-9.92317577,307.35190000,1.00424200
-9.92061577,320.71900000,1.00424200
-9.91805577,338.54180000,1.00424200
-9.91549577,320.71900000,1.00424200
-9.91293577,298.44050000,1.00424200
-9.91037577,307.35190000,1.00424200
-9.90781577,320.71900000,1.00424200
-9.90525577,338.54180000,1.00424200
-9.90269577,311.80760000,1.00424200
-9.90013577,298.44050000,1.00424200
-9.89757577,302.89620000,1.00424200
-9.89501577,329.63040000,1.00424200
-9.89245577,334.08610000,1.00424200
-9.88989577,307.35190000,1.00424200
-9.88733577,294.00000000,1.00424200
-9.88477577,302.89620000,1.00424200
-9.88221577,334.08610000,1.00424200
-9.87965577,320.71900000,1.00424200
-9.87709577,298.44050000,1.00424200
-9.87453577,289.54430000,1.00424200
-9.87197577,311.80760000,1.00424200
-9.86941577,325.17470000,1.00424200
-9.86685577,307.35190000,1.00424200
-9.86429577,285.08870000,1.00424200
-9.86173577,289.54430000,1.00424200
-9.85917577,316.26330000,1.00424200
-9.85661577,316.26330000,1.00424200
-9.85405577,294.00000000,1.00424200
-9.85149577,276.17720000,1.00424200
-9.84893577,294.00000000,1.00424200
-9.84637577,311.80760000,1.00424200
-9.84381577,302.89620000,1.00424200
-9.84125577,276.17720000,1.00424200
-9.83869577,271.72150000,1.00424200
-9.83613577,298.44050000,1.00424200
-9.83357577,307.35190000,1.00424200
-9.83101577,289.54430000,1.00424200
-9.82845577,262.81010000,1.00424200
-9.82589577,276.17720000,1.00424200
-9.82333577,298.44050000,1.00424200
-9.82077577,294.00000000,1.00424200
-9.81821577,267.26580000,1.00424200
-9.81565577,258.35440000,1.00424200
-9.81309577,276.17720000,1.00424200
-9.81053577,294.00000000,1.00424200
-9.80797577,285.08870000,1.00424200
-9.80541577,253.89870000,1.00424200
-9.80285577,253.89870000,1.00424200
-9.80029577,280.63290000,1.00424200
-9.79773577,289.54430000,1.00424200
-9.79517577,267.26580000,1.00424200
-9.79261577,245.00260000,1.00424200
-9.79005577,258.35440000,1.00424200
-9.78749577,276.17720000,1.00424200
-9.78493577,280.63290000,1.00424200
-9.78237577,249.44300000,1.00424200
-9.77981577,240.54690000,1.00424200
-9.77725577,258.35440000,1.00424200
-9.77469577,276.17720000,1.00424200
-9.77213577,267.26580000,1.00424200
-9.76957577,240.54690000,1.00424200
-9.76701577,240.54690000,1.00424200
-9.76445577,253.89870000,1.00424200
-9.76189577,271.72150000,1.00424200
-9.75933577,253.89870000,1.00424200
-9.75677577,227.17980000,1.00424200
-9.75421577,231.63550000,1.00424200
-9.75165577,249.44300000,1.00424200
-9.74909577,267.26580000,1.00424200
-9.74653577,245.00260000,1.00424200
-9.74397577,227.17980000,1.00424200
-9.74141577,231.63550000,1.00424200
-9.73885577,253.89870000,1.00424200
-9.73629577,262.81010000,1.00424200
-9.73373577,231.63550000,1.00424200
-9.73117577,222.72410000,1.00424200
-9.72861577,227.17980000,1.00424200
-9.72605577,249.44300000,1.00424200
-9.72349577,245.00260000,1.00424200
-9.72093577,222.72410000,1.00424200
-9.71837577,213.81270000,1.00424200
-9.71581577,227.17980000,1.00424200
-9.71325577,245.00260000,1.00424200
-9.71069577,236.09120000,1.00424200
-9.70813577,213.81270000,1.00424200
-9.70557577,204.90130000,1.00424200
-9.70301577,227.17980000,1.00424200
-9.70045577,240.54690000,1.00424200
-9.69789577,231.63550000,1.00424200
-9.69533577,200.44560000,1.00424200
-9.69277577,204.90130000,1.00424200
-9.69021577,227.17980000,1.00424200
-9.68765577,236.09120000,1.00424200
-9.68509577,222.72410000,1.00424200
-9.68253577,200.44560000,1.00424200
-9.67997577,204.90130000,1.00424200
-9.67741577,218.26840000,0.98629720
-9.67485577,231.63550000,1.00424200
-9.67229577,213.81270000,1.00424200
-9.66973577,187.09370000,1.00424200
-9.66717577,200.44560000,1.00424200
-9.66461577,213.81270000,1.00424200
-9.66205577,227.17980000,1.00424200
-9.65949577,200.44560000,1.00424200
-9.65693577,191.54940000,1.00424200
-9.65437577,196.00510000,1.00424200
-9.65181577,213.81270000,1.00424200
-9.64925577,222.72410000,1.00424200
-9.64669577,191.54940000,1.00424200
-9.64413577,182.63800000,1.00424200
-9.64157577,196.00510000,1.00424200
-9.63901577,213.81270000,1.00424200
-9.63645577,213.81270000,1.00424200
-9.63389577,182.63800000,1.00424200
-9.63133577,173.72660000,0.98629720
-9.62877577,196.00510000,1.00424200
-9.62621577,209.35700000,1.00424200
-9.62365577,204.90130000,1.00424200
-9.62109577,173.72660000,1.00424200
-9.61853577,173.72660000,1.00424200
-9.61597577,191.54940000,1.00424200
-9.61341577,200.44560000,1.00424200
-9.61085577,196.00510000,1.00424200
-9.60829577,164.81520000,1.00424200
-9.60573577,164.81520000,1.00424200
-9.60317577,187.09370000,1.00424200
-9.60061577,196.00510000,1.00424200
-9.59805577,191.54940000,1.00424200
-9.59549577,160.35950000,1.00424200
-9.59293577,169.27090000,1.00424200
-9.59037577,187.09370000,1.00424200
-9.58781577,200.44560000,1.00424200
-9.58525577,182.63800000,1.00424200
-9.58269577,155.90380000,1.00424200
